8,0,7

0,10000000,7

4,10000000,7

13,7058823,7

9,3513513,7

17,6976744,7

11,6533333,7

12,10000000,7

19,2976190,7

18,6818181,7

16,4505494,8

5,6521739,8

3,8548387,8

7,3310810,9

6,7986577,10

8,8421052,10

0,7302631,10

4,4473684,10

13,5460526,11

14,6321839,11

9,4144736,12

17,5592105,13

15,5090909,14

11,6052631,15

12,7039473,15

19,6513157,15

18,6513157,15

16,5526315,16

5,7171052,16

2,6094890,19

3,7434210,20

7,3026315,21

6,6578947,21

8,5986842,21

0,7631578,22

4,6513157,23

13,6973684,23

14,6184210,25

1,5178571,25

9,7565789,27

17,3947368,28

15,7960526,30

11,5526315,32

12,8092105,33

19,7236842,34

18,4407894,34

16,6250000,35

5,7171052,35

10,5731707,36

2,4736842,37

3,5328947,37

7,9605263,40

6,4934210,40

8,6052631,40

0,7368421,41

4,6776315,41

13,7368421,43

14,7368421,43

1,3421052,44

9,5789473,44

17,5921052,47

15,7434210,50

11,6052631,51

12,2105263,51

19,4078947,51

18,5592105,51

16,4539473,52

5,5131578,52

10,5328947,53

2,4802631,54

3,6644736,54

7,8486842,55

6,6447368,56

8,5526315,56

0,4078947,59

4,5065789,60

13,4671052,61

14,2960526,63

1,6513157,64

9,4013157,64

17,7500000,65

15,8552631,66

11,6644736,66

12,7171052,66

19,8947368,67

18,5526315,69

16,6184210,70

5,4013157,73

10,5657894,74

2,5197368,75

3,5592105,78

7,4276315,80

6,7763157,80

8,4210526,81

0,7828947,82

4,8815789,83

13,5789473,83

14,4605263,84

1,5065789,86

9,3092105,87

17,4078947,91

15,6513157,93

11,8881578,94

12,4078947,94

19,4868421,96

18,5328947,97

16,5460526,97

5,8552631,97

10,8157894,99

2,4868421,101

3,7236842,101

7,5000000,105

6,7171052,105

8,5000000,106

0,6250000,108

4,10000000,108

13,5592105,109

14,7039473,109

1,7697368,112

9,4407894,113

17,5526315,114

15,7236842,114

11,5855263,115

12,6381578,117

19,5065789,117

18,7434210,121

16,6447368,121

5,4868421,121

10,6381578,122

2,5789473,124

3,2565789,124

7,5855263,126

6,5986842,126

8,4210526,126

0,7763157,127

4,10000000,127

13,4144736,128

14,8026315,128

1,7302631,128

9,9342105,129

17,4210526,129

15,3881578,133

11,5328947,133

12,10000000,133

19,7171052,133

18,4671052,133

16,5657894,133

5,6184210,135

10,7500000,138

2,4736842,140

3,7434210,140

7,6118421,142

6,6710526,143

8,4473684,144

0,6381578,144

4,10000000,144

13,6710526,144

14,6710526,145

1,6907894,147

9,4276315,147

17,6644736,147

15,7105263,150

11,6973684,151

12,6447368,151

19,6973684,156

18,5526315,157

16,6907894,158

5,5592105,158

10,5657894,159

2,7434210,160

3,5789473,160

7,6447368,162

6,6513157,162

8,5986842,162

0,4276315,164

4,7368421,165

13,6447368,166

14,8157894,166

1,6513157,167

9,8223684,168

17,7236842,168

15,3552631,169

11,5723684,169

12,8486842,169

19,7039473,169

18,8552631,170

16,2434210,172

5,5394736,172

10,5526315,173

2,5592105,175

3,6315789,176

7,7565789,182

6,5197368,182

8,5855263,182

0,4605263,183

4,6513157,183

13,4671052,183

14,4868421,183

1,6842105,183

9,4276315,183

17,5394736,183

15,3947368,186

11,7105263,186

12,6842105,186

19,4342105,186

18,6513157,187

16,6250000,187

5,6973684,187

10,6710526,187

2,5789473,188

3,3421052,190

7,7565789,194

6,4934210,194

8,6578947,195

0,6710526,196

4,4276315,197

13,5855263,197

14,6644736,199

1,6973684,201

9,3552631,202

17,6776315,202

15,5065789,206

11,6842105,208

12,6315789,209

19,6381578,210

18,6907894,211

16,5328947,211

5,5197368,211

10,4934210,212

2,6973684,212

3,5855263,214

7,6315789,218

6,6381578,218

8,5921052,218

0,7434210,219

4,4605263,219

13,5592105,221

14,3750000,222

1,7697368,223

9,7105263,223

17,6907894,223

15,2434210,224

11,6578947,224

12,3486842,225

19,5855263,227

18,6184210,228

16,4342105,228

5,8223684,228

10,6381578,229

2,4934210,229

3,5131578,229

7,4868421,231

6,3486842,231

8,4802631,231

0,7631578,233

4,5065789,233

13,6118421,234

14,4473684,234

1,5855263,235

9,6513157,235

17,7565789,236

15,6381578,239

11,6118421,241

12,5328947,241

19,5986842,242

18,3223684,242

16,4736842,242

5,6118421,243

10,5789473,245

2,6052631,247

3,5855263,249

7,6184210,250

6,8026315,252

8,5526315,252

0,7039473,252

4,4934210,252

13,7631578,255

14,5065789,256

